"Envio","EstadoBR","Capital","Favela","Bairro","FaixaEtária","Raça","Gênero","Trans","Escolaridade","Abordado","Quantidade","Qtd_+10","Última","Ocorridos","PolicialMesmoGênero","Revistas","Tratamento","Ocorridos2","Sentimentos","Transporte","Racismo","Armas","Motivo","Identificação","Tempo","Tipos","Local","Imagem","Menor18","Casa","Delegacia","NaDelegacia","Conhecidos","Conte"
"2021-06-07 12:21:59","São Paulo","Zona Rural","Não","Bairro Renda Média","18 - 24 anos","Preta","Masculino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-06-07 12:21:23","São Paulo","Capital","Não","Bairro Renda Baixa","30 - 34 anos","Preta","Masculino","Não","Pós-graduação","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista no meu celular Houve revista na minha bolsa/mochila Jogaram meus pertences no chão","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Péssimo","Houve violência física Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim Houve assédio sexual Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Sempre mencionaram sua raça ou cor","Sempre","Me disseram que EU PARECIA SER um suspeito que estavam procurando","Algumas vezes","De 30 a 45 minutos","Policia Militar Policia Civil Guarda Civil Metropolitana/Guarda Municipal","Mesmos lugares","Nunca","Sim","Não","Não","","",""
"2021-06-07 12:20:40","Paraná","Capital","Não","Bairro Renda Média","35 ou mais","Branca","Masculino","Não","Superior incompleto","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-06-07 12:12:58","Rio de Janeiro","Capital","Não","Bairro Renda Alta","25 - 29 anos","Parda","Masculino","Não","Superior completo","Sim","Uma vez","","> 5 anos","Houve revista pessoal (contato físico entre o policial e você)","Mesmo gênero","Nenhuma das alternativas anteriores","Nem bom nem ruim","Nenhuma das opções anteriores","Exposto Com medo","Transporte público","Nunca mencionaram sua raça ou cor","Não me lembro","Me informaram que estavam fazendo uma operação especial e precisavam me abordar Estavam abordando várias pessoas no local (ex: blitz)","Nunca","De 5 a 15 minutos","Muito variado, prefiro não escolher (não lembro)","Diversos","Nunca","Não","Não","Não","","",""
"2021-06-07 12:11:09","Rio Grande do Sul","Interior ñ Rural","Não","Bairro Renda Média","18 - 24 anos","Preta","Masculino","Não","Superior incompleto","Sim","Uma vez","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Bom","Nenhuma das opções anteriores","Aliviado por não ter acontecido algo pior","a pé","Nunca mencionaram sua raça ou cor","Nunca","Não me informaram o motivo","Nunca","Até 5 minutos","Policia Militar","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-06-07 12:02:02","São Paulo","Capital","Não","Bairro Renda Alta","18 - 24 anos","Branca","Feminino","Não","Superior incompleto","Não","","","","","","","","","","","","","","","","","","","","","","","Não",""
"2021-06-07 12:01:59","Ceará","Capital","Sim","","25 - 29 anos","Preta","Masculino","Não","Superior incompleto","Sim","acima de 10","15","6 meses - 1 ano","Houve revista pessoal (contato físico entre o policial e você)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Ruim","Houve violência física Houve violência psicológica","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Com medo","a pé","Poucas vezes mencionaram sua raça ou cor","Sempre","Me disseram que minha ATITUDE era suspeita","Algumas vezes","De 5 a 15 minutos","Policia Militar Policia Civil","Mesmos lugares","Foto ou vídeo","Sim","Sim","Não","","",""
"2021-06-07 12:00:06","Mato Grosso","Reg.Metropolitana","Não","Bairro Renda Baixa","30 - 34 anos","Branca","Masculino","Não","Pós-graduação","Sim","Uma vez","","> 5 anos","Houve consulta aos meus documentos","","","Péssimo","Nenhuma das opções anteriores","Humilhado Com raiva ou ódio","a pé","Nunca mencionaram sua raça ou cor","Nunca","Nenhuma das alternativas anteriores","Sempre","De 5 a 15 minutos","Policia Militar","Mesmos lugares","Nunca","Sim","Não","Não","","",""
"2021-06-07 11:59:07","São Paulo","Capital","Não","Bairro Renda Baixa","35 ou mais","Branca","Masculino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Não",""
"2021-06-07 11:58:51","Rio Grande do Norte","Interior ñ Rural","Não","Bairro Renda Média","18 - 24 anos","Preta","Masculino","Não","Médio completo","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-06-07 11:58:00","São Paulo","Interior ñ Rural","Não","Bairro Renda Baixa","18 - 24 anos","Branca","Feminino","Não","Superior completo","Não","","","","","","","","","","","","","","","","","","","","","","","Não",""
"2021-06-07 11:57:02","São Paulo","Capital","Sim","","35 ou mais","Preta","Feminino","Não","Superior completo","Sim","acima de 10","20","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista no meu celular Jogaram meus pertences no chão Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico Tentaram armar uma situação falsa para me incriminar Disseram que um dos meus pertences era roubado e não meu","Gênero diferente","Pediram para eu tirar uma ou mais peça de roupa","Péssimo","Houve violência física Houve violência psicológica Houve agressão verbal, xingamentos Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Às vezes mencionaram, às vezes não","Sempre","Me disseram que EU PARECIA SER um suspeito que estavam procurando","Algumas vezes","Mais que 1 hora","Policia Militar Policia Civil Guarda Civil Metropolitana/Guarda Municipal Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM)","Diversos","Foto ou vídeo","Sim","Sim","Sim","Fui levado e respondi processo","",""
"2021-06-07 11:56:03","São Paulo","Capital","Não","Bairro Renda Baixa","25 - 29 anos","Branca","Masculino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-06-07 11:53:46","São Paulo","Reg.Metropolitana","Não","Bairro Renda Média","35 ou mais","Branca","Feminino","Não","Superior incompleto","Sim","Uma vez","","> 5 anos","Houve consulta aos meus documentos","","","Excelente","Nenhuma das opções anteriores","Nenhuma das alternativas anteriores","de carro","Nunca mencionaram sua raça ou cor","Não estavam armados","Não me informaram o motivo","Nunca","Até 5 minutos","Policia Militar","Diversos","Nunca","Não","Não","Não","","",""
"2021-06-07 11:38:37","São Paulo","Capital","Sim","","25 - 29 anos","Preta","Feminino","Não","Superior incompleto","Sim","Uma vez","","1 a 5 anos","Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.)","","","Nem bom nem ruim","Nenhuma das opções anteriores","Frustrado ou impotente Inseguro Aliviado por não ter acontecido algo pior","de carro","Nunca mencionaram sua raça ou cor","Algumas vezes","Me informaram que estavam me abordando como parte da rotina do trabalho","Nunca","De 15 a 30 minutos","Policia Civil Policia Rodoviário Federal","Sem padrão","Nunca","Não","Sim","Não","","",""
"2021-06-07 11:36:13","Rio de Janeiro","Capital","Não","Bairro Renda Média","35 ou mais","Branca","Feminino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-06-07 11:33:33","Paraná","Interior ñ Rural","Sim","","35 ou mais","Branca","Masculino","Não","Pós-graduação","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Nem bom nem ruim","Nenhuma das opções anteriores","Exposto Frustrado ou impotente Inseguro Tendo minha privacidade invadida Com medo Aliviado por não ter acontecido algo pior","moto","Nunca mencionaram sua raça ou cor","Algumas vezes","Me disseram que minha ATITUDE era suspeita Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam fazendo uma operação especial e precisavam me abordar Me informaram que estavam me abordando como parte da rotina do trabalho","Algumas vezes","De 5 a 15 minutos","Policia Militar Policia Rodoviário Federal Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM) Exército Força Nacional","Diversos","Nunca","Não","Não","Não","","",""
"2021-06-07 11:29:24","São Paulo","Reg.Metropolitana","Sim","","35 ou mais","Preta","Masculino","Não","Médio completo","Sim","acima de 10","5","> 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Jogaram meus pertences no chão Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico","Mesmo gênero","Nenhuma das alternativas anteriores ja me colocaram em situações constrangedoras, onde posicionaram outra pessoa atras de mim,em via publica","Péssimo","Houve violência psicológica Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Nunca mencionaram sua raça ou cor","Sempre","Não me informaram o motivo","Nunca","De 5 a 15 minutos","Policia Militar Policia Civil","Mesmos lugares","Nunca","Sim","Não","Não","","",""
